iter	Passed	Remaining
0	148	148297
1	149	74393
2	149	49842
3	151	37654
4	152	30253
5	152	25313
6	153	21781
7	154	19120
8	154	17039
9	155	15372
10	155	14013
11	156	12894
12	157	11936
13	157	11108
14	158	10389
15	158	9764
16	159	9217
17	160	8730
18	160	8290
19	161	7897
20	161	7538
21	162	7209
22	162	6915
23	164	6670
24	165	6441
25	166	6221
26	166	6012
27	167	5817
28	167	5621
29	168	5447
30	169	5290
31	169	5140
32	170	4997
33	171	4862
34	171	4739
35	172	4616
36	173	4504
37	173	4397
38	174	4294
39	174	4198
40	175	4108
41	176	4022
42	176	3936
43	177	3856
44	178	3785
45	179	3726
46	180	3657
47	180	3588
48	181	3521
49	182	3459
50	182	3402
51	183	3342
52	183	3286
53	184	3231
54	185	3180
55	185	3131
56	186	3084
57	187	3037
58	187	2988
59	187	2945
60	188	2903
61	188	2859
62	189	2820
63	190	2781
64	190	2744
65	191	2709
66	192	2678
67	193	2647
68	193	2616
69	194	2582
70	194	2550
71	195	2520
72	196	2492
73	196	2462
74	197	2437
75	198	2410
76	198	2384
77	199	2358
78	200	2333
79	200	2309
80	201	2284
81	202	2262
82	202	2238
83	203	2215
84	203	2194
85	204	2172
86	205	2152
87	205	2132
88	206	2112
89	207	2095
90	208	2078
91	208	2061
92	209	2041
93	209	2023
94	210	2007
95	211	1989
96	211	1972
97	212	1956
98	213	1941
99	213	1924
100	214	1908
101	214	1892
102	215	1876
103	216	1862
104	216	1847
105	217	1833
106	218	1820
107	218	1806
108	219	1793
109	219	1778
110	220	1769
111	221	1757
112	222	1745
113	222	1732
114	223	1720
115	224	1709
116	225	1698
117	225	1687
118	226	1675
119	226	1663
120	227	1651
121	227	1639
122	228	1628
123	228	1617
124	229	1606
125	230	1596
126	230	1586
127	231	1575
128	231	1566
129	232	1557
130	233	1547
131	233	1538
132	234	1531
133	235	1524
134	236	1515
135	237	1506
136	237	1497
137	238	1489
138	239	1480
139	239	1472
140	240	1463
141	240	1455
142	241	1446
143	241	1437
144	242	1429
145	243	1421
146	243	1413
147	244	1406
148	245	1399
149	245	1391
150	246	1383
151	246	1376
152	247	1369
153	248	1363
154	249	1359
155	249	1352
156	250	1346
157	251	1339
158	251	1331
159	252	1324
160	252	1317
161	253	1310
162	253	1304
163	254	1297
164	255	1291
165	255	1285
166	256	1279
167	256	1272
168	257	1266
169	258	1259
170	258	1254
171	259	1248
172	259	1242
173	260	1237
174	261	1231
175	261	1226
176	262	1221
177	263	1217
178	264	1211
179	264	1206
180	265	1200
181	265	1195
182	266	1189
183	267	1185
184	268	1181
185	268	1175
186	269	1171
187	269	1165
188	270	1160
189	270	1155
190	271	1150
191	272	1145
192	272	1140
193	273	1136
194	274	1131
195	274	1126
196	275	1122
197	275	1117
198	276	1114
199	277	1109
200	278	1105
201	278	1101
202	279	1095
203	279	1091
204	280	1086
205	280	1081
206	281	1077
207	281	1073
208	282	1069
209	283	1064
210	283	1060
211	284	1056
212	284	1052
213	285	1048
214	286	1044
215	286	1040
216	287	1036
217	287	1032
218	288	1028
219	288	1024
220	289	1020
221	290	1017
222	293	1021
223	293	1017
224	294	1013
225	294	1009
226	295	1006
227	296	1002
228	296	999
229	297	995
230	298	992
231	298	988
232	299	984
233	299	981
234	300	978
235	301	974
236	301	971
237	302	967
238	302	964
239	303	961
240	303	957
241	304	955
242	306	953
243	307	951
244	310	956
245	313	961
246	314	957
247	314	954
248	315	951
249	316	948
250	316	944
251	317	941
252	317	937
253	318	934
254	318	931
255	319	929
256	320	927
257	321	925
258	322	923
259	323	919
260	323	916
261	324	913
262	324	910
263	325	907
264	326	904
265	326	901
266	327	898
267	328	895
268	328	892
269	329	889
270	329	886
271	330	883
272	330	880
273	331	877
274	331	874
275	332	872
276	333	870
277	334	869
278	335	867
279	336	865
280	337	862
281	337	860
282	338	857
283	339	855
284	340	853
285	340	850
286	341	847
287	341	845
288	342	842
289	343	840
290	344	838
291	344	835
292	345	833
293	346	831
294	346	828
295	347	827
296	348	825
297	349	823
298	350	821
299	350	818
300	351	816
301	352	814
302	352	811
303	353	809
304	354	807
305	354	804
306	355	802
307	355	799
308	356	797
309	357	795
310	357	792
311	358	790
312	359	788
313	359	786
314	360	783
315	361	782
316	362	780
317	363	778
318	363	776
319	364	774
320	364	772
321	365	769
322	366	767
323	367	765
324	367	763
325	368	761
326	368	759
327	369	757
328	370	755
329	370	752
330	371	750
331	372	748
332	372	746
333	373	744
334	374	742
335	374	740
336	375	739
337	376	737
338	377	736
339	378	734
340	379	732
341	379	730
342	380	728
343	381	726
344	381	724
345	382	722
346	383	721
347	383	719
348	384	716
349	385	715
350	385	713
351	386	711
352	387	709
353	387	707
354	388	705
355	389	704
356	390	703
357	391	701
358	391	699
359	392	697
360	393	696
361	394	694
362	394	692
363	395	691
364	398	693
365	399	692
366	400	690
367	400	688
368	401	687
369	402	685
370	405	687
371	406	686
372	407	684
373	407	682
374	408	681
375	409	679
376	410	678
377	411	676
378	411	675
379	412	673
380	413	671
381	414	670
382	414	668
383	415	666
384	416	664
385	417	663
386	419	664
387	420	662
388	420	661
389	421	659
390	422	658
391	423	656
392	424	655
393	424	653
394	425	651
395	426	650
396	427	649
397	428	647
398	428	645
399	429	644
400	430	642
401	430	640
402	434	643
403	434	641
404	435	639
405	436	638
406	437	636
407	437	635
408	438	633
409	439	631
410	439	629
411	440	628
412	440	626
413	441	624
414	442	623
415	442	621
416	443	619
417	444	618
418	444	616
419	445	614
420	446	613
421	446	611
422	447	610
423	448	608
424	449	607
425	449	605
426	450	604
427	450	602
428	451	600
429	452	599
430	452	597
431	453	596
432	454	594
433	454	593
434	455	591
435	455	589
436	456	588
437	457	586
438	457	585
439	460	585
440	464	588
441	464	586
442	465	585
443	466	583
444	466	582
445	467	580
446	468	579
447	468	577
448	469	576
449	469	574
450	470	572
451	471	571
452	471	569
453	472	568
454	472	566
455	473	564
456	474	563
457	474	561
458	475	560
459	475	558
460	476	557
461	477	555
462	478	554
463	478	552
464	479	551
465	479	550
466	480	548
467	481	547
468	481	545
469	482	544
470	483	542
471	483	541
472	484	539
473	484	538
474	485	536
475	486	535
476	486	533
477	487	532
478	487	530
479	488	529
480	488	527
481	489	526
482	490	524
483	491	523
484	491	522
485	492	520
486	493	519
487	493	517
488	494	516
489	494	514
490	495	513
491	496	512
492	496	510
493	497	509
494	497	507
495	498	506
496	499	505
497	499	503
498	500	502
499	500	500
500	501	499
501	502	498
502	502	496
503	503	495
504	504	494
505	504	492
506	505	491
507	506	490
508	506	488
509	507	487
510	507	485
511	508	484
512	508	483
513	509	481
514	510	480
515	510	479
516	511	477
517	512	476
518	512	475
519	513	473
520	513	472
521	514	471
522	515	469
523	515	468
524	516	467
525	517	466
526	517	464
527	518	463
528	519	462
529	520	461
530	520	460
531	521	458
532	522	457
533	522	456
534	523	455
535	524	453
536	524	452
537	525	451
538	526	450
539	526	448
540	527	447
541	528	446
542	528	445
543	529	443
544	529	442
545	530	441
546	530	439
547	531	438
548	532	437
549	533	436
550	534	435
551	534	434
552	535	432
553	536	431
554	536	430
555	537	429
556	538	428
557	538	426
558	539	425
559	539	424
560	540	422
561	541	421
562	541	420
563	541	418
564	542	417
565	543	416
566	543	415
567	544	414
568	545	413
569	545	411
570	546	410
571	547	409
572	548	408
573	548	407
574	549	405
575	550	404
576	550	403
577	551	402
578	551	401
579	552	399
580	552	398
581	553	397
582	554	396
583	554	395
584	555	394
585	556	392
586	556	391
587	557	390
588	557	389
589	558	388
590	559	387
591	559	385
592	560	384
593	561	383
594	562	382
595	562	381
596	563	380
597	564	379
598	564	378
599	565	376
600	566	375
601	566	374
602	567	373
603	567	372
604	568	371
605	568	369
606	569	368
607	569	367
608	570	366
609	570	364
610	571	363
611	571	362
612	572	361
613	572	360
614	573	359
615	574	357
616	575	357
617	575	356
618	576	354
619	577	353
620	577	352
621	578	351
622	579	350
623	579	349
624	580	348
625	581	347
626	581	346
627	582	345
628	583	343
629	583	342
630	584	341
631	584	340
632	585	339
633	586	338
634	586	337
635	587	336
636	588	335
637	588	334
638	589	332
639	589	331
640	590	330
641	591	329
642	591	328
643	592	327
644	592	326
645	593	325
646	594	324
647	594	323
648	595	321
649	595	320
650	596	319
651	597	318
652	597	317
653	598	316
654	598	315
655	599	314
656	599	313
657	600	312
658	601	311
659	601	309
660	602	308
661	602	307
662	603	306
663	604	305
664	604	304
665	605	303
666	606	302
667	606	301
668	607	300
669	607	299
670	608	298
671	609	297
672	609	296
673	610	295
674	610	294
675	611	293
676	611	291
677	612	290
678	613	289
679	613	288
680	614	287
681	615	286
682	615	285
683	616	284
684	617	283
685	617	282
686	618	281
687	619	280
688	620	279
689	620	278
690	621	277
691	621	276
692	622	275
693	623	274
694	623	273
695	624	272
696	625	271
697	625	270
698	626	269
699	626	268
700	627	267
701	628	266
702	629	265
703	629	264
704	630	263
705	631	262
706	632	261
707	632	260
708	633	259
709	633	258
710	634	257
711	635	256
712	635	255
713	636	254
714	636	253
715	637	252
716	638	251
717	639	250
718	639	249
719	640	248
720	640	247
721	641	246
722	641	245
723	642	244
724	643	244
725	644	243
726	644	242
727	645	241
728	645	240
729	646	239
730	647	238
731	647	237
732	648	236
733	648	235
734	649	234
735	650	233
736	650	232
737	651	231
738	652	230
739	652	229
740	653	228
741	654	227
742	654	226
743	655	225
744	656	224
745	656	223
746	657	222
747	658	221
748	659	220
749	659	219
750	660	218
751	660	217
752	661	216
753	662	216
754	662	215
755	663	214
756	663	213
757	664	212
758	664	211
759	665	210
760	666	209
761	666	208
762	667	207
763	668	206
764	668	205
765	669	204
766	669	203
767	670	202
768	670	201
769	671	200
770	672	199
771	672	198
772	673	197
773	674	196
774	674	195
775	675	194
776	676	194
777	676	193
778	677	192
779	677	191
780	678	190
781	679	189
782	679	188
783	680	187
784	680	186
785	681	185
786	681	184
787	682	183
788	683	182
789	683	181
790	684	180
791	684	179
792	685	178
793	686	178
794	687	177
795	688	176
796	688	175
797	689	174
798	690	173
799	690	172
800	691	171
801	692	170
802	692	169
803	693	168
804	693	168
805	694	167
806	694	166
807	695	165
808	695	164
809	696	163
810	696	162
811	697	161
812	698	160
813	698	159
814	699	158
815	699	157
816	700	156
817	700	155
818	701	155
819	701	154
820	702	153
821	703	152
822	703	151
823	704	150
824	704	149
825	705	148
826	705	147
827	706	146
828	707	145
829	708	145
830	708	144
831	709	143
832	709	142
833	710	141
834	711	140
835	711	139
836	712	138
837	712	137
838	713	136
839	713	135
840	714	135
841	715	134
842	715	133
843	716	132
844	716	131
845	717	130
846	718	129
847	718	128
848	719	127
849	720	127
850	720	126
851	721	125
852	721	124
853	722	123
854	723	122
855	723	121
856	724	120
857	724	119
858	725	119
859	725	118
860	726	117
861	727	116
862	727	115
863	728	114
864	728	113
865	729	112
866	729	111
867	730	111
868	731	110
869	731	109
870	732	108
871	732	107
872	733	106
873	734	105
874	734	104
875	735	104
876	735	103
877	736	102
878	737	101
879	737	100
880	738	99
881	738	98
882	739	97
883	739	97
884	740	96
885	741	95
886	741	94
887	742	93
888	743	92
889	743	91
890	744	91
891	745	90
892	745	89
893	746	88
894	747	87
895	747	86
896	748	85
897	749	85
898	750	84
899	750	83
900	751	82
901	751	81
902	752	80
903	753	79
904	753	79
905	754	78
906	754	77
907	755	76
908	756	75
909	756	74
910	757	74
911	758	73
912	758	72
913	759	71
914	760	70
915	760	69
916	761	68
917	761	68
918	762	67
919	762	66
920	763	65
921	764	64
922	764	63
923	765	62
924	765	62
